Model Name,Engine Type,HP or lbs thr ea engine,Max speed Knots,Rcmnd cruise Knots,Stall Knots dirty,Fuel gal/lbs,All eng rate of climb,Eng out rate of climb,Takeoff over 50ft,Landing over 50ft,Empty weight lbs,Length ft/in,Wing span ft/in,Range N.M.,Price
100 Darter (S.L. Industries),Piston,145,104.0,91.0,46.0,36,450.0,900.0,1300.0,"2,050",1180.0,25/3,37/5,370.0,1300000.0
7 CCM Champ,Piston,85,89.0,83.0,44.0,15,600.0,720.0,800.0,"1,350",820.0,20/7,36/1,190.0,1230000.0
100 Darter (S.L. Industries),Piston,90,90.0,78.0,37.0,19,650.0,475.0,850.0,"1,300",810.0,21/5,35/0,210.0,1600000.0
7 AC Champ,Piston,85,88.0,78.0,37.0,19,620.0,500.0,850.0,"1,300",800.0,21/5,35/0,210.0,1300000.0
100 Darter (S.L. Industries),Piston,65,83.0,74.0,33.0,14,370.0,632.0,885.0,"1,220",740.0,21/5,35/0,175.0,1250000.0
PA-60-700P Aerostar (preliminary),Piston,65,78.0,72.0,33.0,15,360.0,583.0,880.0,"1,250",786.0,20/4,36/1,180.0,1100000.0
"PA-601P pressurized Aerostar ('77 service ceiling=26,350)",Piston,350,264.0,230.0,80.0,165,1820.0,3080.0,2100.0,"6,315",4275.0,34/10,36/8,868.0,2500000.0
100 Darter (S.L. Industries),Piston,290,262.0,247.0,77.0,165,1755.0,2250.0,2076.0,"6,000",4125.0,34/9,36/7,1020.0,2800000.0
"PA-601, 601A, turbochg Aerostar",Piston,290,257.0,235.0,77.0,165,1460.0,2490.0,2030.0,"6,000",4056.0,34/10,36/8,1101.0,2500000.0
100 Darter (S.L. Industries),Piston,290,257.0,237.0,77.0,165,1460.0,2490.0,2030.0,"6,000",3958.0,34/10,36/8,1174.0,3000000.0
G164B-600 AG-CAT (design category) sprayer,Piston,290,271.0,236.0,69.0,174,1700.0,2200.0,1625.0,"5,700",3750.0,34/10,34/2,1174.0,3010000.0
100 Darter (S.L. Industries),Piston,290,220.0,212.0,74.0,165,1800.0,1950.0,1840.0,"5,500",3737.0,34/10,34/2,1200.0,2120000.0
